3,"👍🏼 es mucho mejor negocio un hibrido , actualmente , que un eléctrico ! ! . Parece una Cross Fox 2006 ,",0
17,y bueno seguiré manejandos mi Basuru 82 junto a mis lagrimas . Me parece que tiene demasiados peros para tener la estrella de autodinamico .,0
30,"creo que solo trataste de justificar su estrella de la ves pasada pero en fin en mi opinión el sentrs y jetta están mejores . El Mazda que en e l 2015 iniciaba con precios de 250.000 y tope de 350.000 ,",0
44,"debido precisamente a que esté gobierno apuesta a generar electricidad por carbón y combustóleo . Si uno no tiene panel solar en la casa , en efecto está generando más emisiones con un eléctrico/PIH que uno de gasolina con buen control de emisiones . Esta carisimo !",0
58,"no vale la pena el cambio , si es tu primer coche , pudiera ser opción , pero yo le echaría 25mil pesos más y me llevo el jetta turbo . Ya será decisión de cada quien . Soy hater de Mazda ,",0
59,Soy fan de VW . Pero,0
75,. Jajaja,0
81,. Nel ni madres,0
82,". Mínimo brinquito , poquito menos de adherencia , es para más silencio , te convendría un 2018 '' son mil maneras de decir `` te quieren vender más caro un auto más barato y disfrazar disminución dd calidad mecánica con cambios estéticos . Casi no se nota su `` buena relación '' con Mazda , o cuándo antes llevado a alguien de otras marcas a que defienda sus malos servicios en taller y falta de piezas ? ? Menos corrupción por favor . El master adornando el decir que el quitar la suspensión trasera independiente fue para ahorrar costos , nunca será mejor una de eje de torsión o de eje rígido . En SEAT León siempre recomendaba más la versión FR de 180 HP debido a que tiene suspensión trasera independiente , en lugar del FR de 150 HP que tiene suspensión de eje semirrígido , de hecho en este no se siente la diferencia , sólo en caso de una maniobra de esquiva . La suspensión trasera la cagaron ,",0
85,LA CHEYENNE ES LA MÁS RESISTENTE ... NOMAS LE FALTA LA . OPCIÓN DEL 2.7 TURBO AQUI EN MEXICO Y VA A VOLAR DE LAS AGENCIAS . Tengo una HR-V 2018 y puedo decir con total certeza lo siguiente : Lo bueno : * Excelente Rendimiento de combustible en su versión con caja CVT Lo malo :,0
90,". No es un auto para diario . Pero es muy bonito y tiene una potencia increíble . Despues de varios años de tener Jeep les puedo decir que no es un auto para moda en ciudad , no está diseñado para chulearlo en la plaza ;",0
114,"La probé y se maneja bien ,",0
115,siento que va ser de esos que dan el viejazo muy pronto .,0
117,Este auto solo solo es para farolear la marca .,0
141,"Ni de cerca el mejor de la historia ,",0
152,🤷🏻 .,0
167,"No sirven esas camionetas , nada recomendable ,",0
173,". horrible el carro ,",0
180,🙄 .,0
188,"453 mil pesos no los vale ni de chiste ,",0
198,si le ponen .,0
200,Por ese precio ni loco antes un Camry .,0
202,"No cabe duda de por qué el mercado se inclina cada vez más hacia los koreanos y recientemente , hasta los chinos .",0
235,"Es 0-50, no 0-100 km/h... Una disculpa por hacerlos creer que este auto era más rápido que un muscle car",1
236,el verdadero deportivo es el PROCEED que se vende en europa,1
239,le copiaron la llave a Volvo,1
248,Deberían revisar el diseño de sus rines en combinación con las llantas para el valle de México.,1
254,la plataforma (chasis) se estresa cada vez al torcerlo y además con más peso. Ojo con eso,1
258,Excelente carro pero esta muy lejos todavia del premiun,1
280,"mejor un spark cvt con 4 airbags y ESP, un Ibiza, Swift boosterjet etc etc etc",1
290,prefiero los atmosféricos; el turbo es muy bueno para carretera pero a baja velocidad como estirar un elástico,1
296,"Descontinuaron el golf , el polo para traer un crossover lento, que le falta equipo ya que es la versión highline y con las mismas dimensiones que el golf y el polo Y además caro.",1
302,"o no odió VW pero creo que ya aburre con sus diseños, yo no veo que salga de lo mismo.",1
304,como consumidores la mejor arma es la información,1
306,Hasta la Renault Duster tiene motor más potente 133 HP que el de este vehículo.,1
308,el botón de intermitentes esta del lado del copiloto que chafa diseño tiene no me gusto mejor kia o honda hay mejores,1
310,Cuando finalmente VW hace un buen producto con excelente plataforma lo hecha a perder con sus precios inflados y motores baratos en autos que no necesariamente lo son,1
316,"este Virtus 2020 esta igual de caro, también le falta potencia y tiene acabados con plásticos corrientes al estilo de la gama más baja de volkswagen.",1
336,Muy caro y con mucho plástico y poco equipamiento para el precio que tiene,1
345,La suspensión independiente es mejor que la de eje de torsión ? Si,1
351,"un motor de 1.4 lts, pero la ficha técnica dice 1.6lts. Estan malo que hasta se pega",1
371,"sin faros de niebla, poco nivel de materiales faltan muchas cosas en la parte trasera.",1
375,"el valor de este auto es q por este precio traes el motor de 240hp, audio de firma, piel napa, ventilación asientos delanteros, cortinas para sol traseros, postes a-b-c, en tipo gamuza , la relación valor precio excelente, el punto es q no divierte en su manejo",1
377,En Chile por ese precio te compras un Ford Focus o un Kia Cerato sedan o Hyundai Elantra (todos básicos),1
384,Nel perdió el diseño refinado y estilizado por un diseño casi sin líneas,1
404,Mejor el jetta Mk4 traía amortiguadores en el cofre que un jetta gli 2019.,1
407,Lo único que no me gusta es la palanca está enorme como la de un Tsuru 1 automático,1
414,Bueno retrocedió por la suspensión pero sigue estando más caro. Mejor un Accord SPORT. Ni el burro con llantas del mazda 6. Tiene más arranque el spark que ese mazda 6. Ah pero los mazdetos creen que traen un premium jajajaja,1
439,"Tengo el 3 versión anterior 2014 2.5 188 hp, como nuevo solo 30 ml km, la verdad no caere en consumismo, no hay mucho cambio, de perfil la gente no nota la diferencia y de frente solo los que tenemos mazda o los cars lovers lo notan. No trae el motor sk X, no tiene susp trasera ind, y hasta menos espacio interior, para mi no vale la pena cambiarlo por este ""nuevo modelo"". Además de que ya son tan comunes como los jettas y eres uno más con mazda 3.",1
444,"La línea no me encanta, pero ciertamente trae excelente tecnología.",1
456,seguramente buen carro pero con esos sistemas de seguridad lo pusieron por las nubes.,1
457,Lo de la llanta de refacción lo resuelves estacinandote encima de un tope.?,1
458,"Dato curioso, las versiones aspiradas ya NO TRAEN motor de banda de distribución, ya trae el motor de VERSA y MARCH, CADENERO. ? Al menos fiable ya es, ese motor usan para taxi y ahí andan día y noche, todo el tren motriz es Nissan.",1
463,Los diseñan para latinoamerica...dejan la llanta de fuera! ?,1
467,"Le falto monedas para el centavo, con unos 4 airbags seria muy seguramente una estrella de aerodinamico en el segmento. Que lastima.",1
